VAR1,VAR2,VAR3,VAR4
1,Afghanistan,93.45,168.83
2,Myanmar,92.54,168.16
3,Mongolia,92.45,170.05
4,Ghana,89.2,160
5,Lebanon,88.37,157.8
6,Nigeria,87.63,156.63
7,Vietnam,86.47,154.89
8,Monaco,86.33,157.83
9,Bangladesh,86.21,154.51
10,Egypt,85.65,152.79
11,Nepal,84.77,150.98
12,Peru,84.13,150.32
13,China,80.77,146.39
14,North Macedonia,80.23,146.17
15,Cambodia,79.5,140.79
16,Ethiopia,79.19,139.57
17,India,78.87,139.31
18,Iraq,78.83,139.07
19,Azerbaijan,78.12,137.71
20,Dominican Republic,77.9,137.15
21,Jordan,77.78,137.15
22,Albania,77.77,136.72
23,Iran,77.45,142.02
24,Malta,77.07,135.35
25,Kenya,76.6,135.91
26,Kazakhstan,75.15,137
27,Thailand,75.07,131.92
28,Zimbabwe,74.61,132.35
29,Bolivia,74.6,130.8
30,Philippines,74.28,130.61
31,Pakistan,74.25,129.91
32,Venezuela,73.76,130.51
33,Bahrain,71.43,128.76
34,Georgia,71.09,128.31
35,Guatemala,70.65,122.99
36,Morocco,70.64,123.38
37,Tunisia,69.53,121.21
38,Jamaica,68.92,120.35
39,Kuwait,68.69,121.61
40,Syria,68.42,118.23
41,Trinidad And Tobag,68.31,118.43
42,Hong Kong,67.69,120.55
43,Turkey,67.35,117.28
44,Indonesia,66.56,114.81
45,Mexico,66.1,114.14
46,Chile,65.78,121.09
47,Algeria,65.75,115.2
48,Bulgaria,65.33,118.68
49,Saudi Arabia,65.09,114.09
50,Ukraine,65.08,112.71
51,Taiwan,63.35,110.37
52,Malaysia,63.18,108.21
53,Panama,63.09,111.37
54,Tanzania,62.93,110.7
55,Colombia,62.83,113.45
56,Russia,62.79,108.08
57,South Korea,62.48,114.41
58,Bosnia And Herzego,62.33,110.57
59,Qatar,61.06,106.93
60,Serbia,60.32,104.77
61,Armenia,60.23,108.79
62,Sri Lanka,59.14,101.17
63,Romania,58.42,99.69
64,South Africa,57.3,97.9
65,Israel,57.25,100.95
66,Ecuador,57,97.19
67,Mauritius,55.88,95.58
68,Italy,55.63,94.51
69,Brazil,54.98,93.96
70,Poland,54.46,97.05
71,Cyprus,53.55,90.51
72,Belgium,52.94,90.05
73,Greece,52.55,91.8
74,United Arab Emirat,51.15,86.98
75,Argentina,50.67,86.36
76,Puerto Rico,49.93,85.74
77,Hungary,48.29,83.58
78,Costa Rica,46.97,81.09
79,Montenegro,45.14,76.62
80,Uruguay,44.84,79.76
81,Belarus,43.63,72.24
82,France,43.56,72.66
83,United Kingdom,40.56,67.05
84,Czech Republic,40.23,68.29
85,Spain,39.99,65.48
86,Slovakia,39.66,66.56
87,Japan,39.59,64.06
88,Oman,37.74,60.8
89,United States,36.88,60.96
90,Ireland,33.99,56.48
91,Latvia,33.73,54.92
92,Singapore,33.48,56.91
93,Portugal,30.89,49.68
94,Croatia,30.46,50.22
95,Germany,29.03,46.68
96,Lithuania,28.8,46.76
97,Canada,27.83,45.33
98,Netherlands,27.41,44.83
99,Luxembourg,24.28,36.6
100,Slovenia,24.06,42.51
101,Australia,23.46,37.5
102,New Zealand,23.4,39.9
103,Switzerland,22.39,36.03
104,Austria,22.19,36.63
105,Denmark,21.33,32.87
106,Norway,20.35,32.66
107,Estonia,19.81,33.12
108,Sweden,18.09,28.34
109,Iceland,16.21,28.12
110,Finland,11.55,19.66
